-48,10,-40
-50,16,-49
-68,19,-60
-42,17,-43
-40,15,-40
-44,12,-45
-32,12,-44
-32,13,-41
-41,13,-41
-57,9,-46
-59,10,-46
-57,6,-46
-44,7,-47
-50,4,-55
-60,10,-50
-59,13,-49
-45,16,-45
-42,13,-39
-44,11,-39
-42,9,-42
-44,8,-43
-49,8,-43
-50,8,-44
-46,10,-44
-40,11,-39
-40,10,-39
-43,9,-43
-48,10,-42
-49,12,-43
-51,13,-45
-53,14,-42
-49,12,-37
-50,12,-30
-53,12,-31
-71,17,-25
-73,17,-21
-84,16,-26
-99,13,-24
-89,14,-15
-110,10,-29
-119,9,-33
-93,11,-25
-83,10,-22
-78,3,-31
-72,2,-29
-62,2,-39
-58,1,-51
-47,7,-49
-35,11,-38
-41,1,-39
-32,-4,-28
-26,-6,-23
-17,-16,-13
-12,-21,-2
-7,-28,11
-7,-29,15
-14,-27,29
-25,-26,27
-15,-26,38
-38,-16,52
-33,-16,34
-36,7,58
-50,14,46
-31,9,22
-22,16,16
-27,43,5
-44,48,-7
-51,75,8
-39,84,16
-39,108,10
-45,124,8
-41,127,-6
-56,127,-15
-73,102,-19
-63,58,-8
-45,60,9
-32,63,0
-37,63,-9
-55,53,-21
-26,60,-2
-23,56,10
-32,53,5
-32,63,4
-28,69,4
-29,68,4
-34,73,1
-30,76,0
-15,74,11
-29,70,4
-21,71,8
-37,68,2
-49,62,4
-50,58,6
-49,54,6
-51,44,8
-49,39,9
-50,32,11
-49,29,10
-45,25,17
-46,23,25
-45,22,24
-42,21,19
-53,11,15
-48,15,23
-46,12,25
-57,14,19
-61,14,13
-46,13,17
-52,11,14
-71,6,-3
-75,6,-8
-64,7,-3
-50,7,8
-59,7,-2
-65,7,-4
-67,8,-8
-69,8,-10
-72,9,-9
-64,12,-3
-60,11,-1
-70,10,-4
-70,9,-4
-66,7,-5
-65,7,-6
-69,5,-6
-66,5,-4
-53,2,4
-61,-3,0
-66,-4,-2
-68,-3,-4
-66,-1,-3
-64,-2,-1
-63,-2,-1
-57,-3,4
-58,-4,1
-64,-5,-3
-70,-5,-5
-67,-3,-3
-75,0,-7
-73,0,-6
-73,0,-5
-77,2,-6
-67,3,5
-64,2,6
-60,-2,5
-62,-2,8
-59,-1,10
-56,-3,11
-56,-1,10
-65,2,10
-63,2,10
-71,8,2
-66,6,4
-54,10,16
-60,8,9
-64,12,11
-68,10,11
-66,9,16
-59,8,12
-58,8,8
-55,9,9
-57,12,8
-67,13,6
-71,17,6
-70,16,9
-67,12,10
-74,12,6
-74,11,6
-67,13,11
-65,15,10
-61,10,14
-59,2,20
-57,0,20
-71,1,14
-81,4,11
-95,14,7
-100,15,6
-74,15,15
-60,11,15
-39,1,5
-20,-3,5
-14,-5,3
-2,-14,6
-20,-13,12
-72,10,7
-107,16,1
-114,14,11
-89,1,15
-67,-10,13
-63,-8,15
-51,-4,19
-59,-2,17
-67,-1,11
-62,-3,14
-58,-2,17
-61,0,19
-60,3,18
-57,1,17
-57,3,18
-57,10,21
-53,14,20
-61,19,24
-80,21,13
-68,18,4
-56,17,6
-57,23,15
-44,24,30
-36,24,34
-45,34,25
-35,40,21
-8,56,36
-10,56,37
-22,57,29
-58,63,10
-70,60,-1
-69,44,-10
-67,40,-10
-65,37,-13
-34,40,1
-24,49,5
-29,48,15
-45,54,-13
-43,54,-15
-41,57,-7
-35,52,-14
-36,49,-18
-45,40,-26
-52,39,-35
-36,23,-41
29,22,-22
13,74,17
-44,74,4
-84,73,3
-71,74,12
-59,68,11
-77,69,4
-52,70,4
-27,76,7
-42,64,-4
-30,67,29
-38,67,25
-32,53,11
-31,46,11
-44,41,17
-41,39,19
-45,27,15
-42,25,16
-36,21,22
-40,19,20
-39,19,21
-34,15,26
-36,17,29
-43,22,36
-49,22,36
-60,20,31
-57,19,37
-56,16,37
-62,13,30
-61,13,31
-52,12,30
-57,12,28
-62,10,30
-62,12,32
-56,9,27
-55,8,24
-61,6,22
-61,5,24
-60,5,23
-60,3,21
-61,4,21
-65,5,20
-64,5,18
-64,4,16
-60,4,17
-61,4,18
-57,2,19
-61,-1,16
-57,-1,17
-59,-4,14
-65,-5,9
-69,-5,7
-64,-5,9
-66,-6,9
-65,-6,11
-67,-5,10
-63,-4,8
-64,-3,9
-63,-7,11
-62,-7,11
-67,-4,16
-57,-4,8
-78,-1,-11
-86,-10,-5
-57,-5,8
-58,-9,4
-56,-10,3
-56,-8,4
-61,-8,0
-58,-9,-2
-64,-6,-2
-73,-2,4
-67,-3,3
-63,-2,-3
-73,-3,-8
-70,-4,-5
-57,-4,0
-55,-5,-1
-61,-4,-2
-63,-5,-1
-63,-4,2
-63,-3,4
-67,1,5
-66,6,15
-62,7,20
-55,4,21
-60,3,20
-63,3,24
-66,5,22
-67,2,20
-62,2,21
-58,0,22
-56,1,23
-56,1,21
-56,3,25
-55,3,26
-59,5,22
-64,7,21
-71,6,19
-68,4,17
-64,0,17
-65,-1,18
-72,2,12
-57,-2,5
-51,-6,6
-55,-13,5
-60,-12,5
-71,-2,0
-71,-1,-2
-66,-3,4
-68,-2,5
-62,-6,5
-64,-4,5
-66,1,12
-64,2,12
-65,4,14
-64,0,11
-66,1,11
-68,1,5
-69,0,5
-64,1,13
-66,1,9
-68,-6,5
-63,-6,11
-59,-4,15
-60,-4,14
-59,-5,16
-61,1,26
-65,3,22
-64,1,15
-60,2,18
-58,-1,20
-61,0,19
-62,-1,22
-57,0,30
-59,-3,30
-56,-3,29
-54,-3,24
-56,2,27
-55,4,30
-48,7,30
-42,9,28
-38,8,12
-45,6,5
-70,-3,-32
-75,-7,-38
-74,-14,-41
-60,-11,-85
-59,2,-107
-68,10,-128
-56,6,-119
-55,11,-56
-49,11,-39
-44,5,-41
-38,2,-39
-9,5,-13
-10,3,-4
-13,-10,-5
-19,-19,-8
-19,-24,-10
-22,-36,-7
-27,-38,-2
-42,-20,21
-40,-13,32
-29,-10,47
-41,-7,42
-79,3,27
-84,4,24
-67,-1,28
-78,12,29
-79,23,25
-72,27,20
-74,26,16
-69,21,8
-63,21,8
-50,23,6
-48,25,10
-62,32,5
-65,35,2
-57,40,4
-57,35,3
-55,34,1
-52,35,-5
-50,35,-5
-44,37,-1
-43,38,0
-45,39,-1
-47,41,-1
-52,46,-2
-54,44,-4
-51,35,-10
-48,37,-16
-53,44,-21
-71,61,-25
-66,62,-26
-52,56,-26
-54,56,-26
-52,54,-25
-49,53,-23
-43,50,-16
-41,46,-15
-39,41,-14
-34,42,-13
-31,38,-11
-26,32,-8
-25,32,-7
-25,32,-4
-23,35,-1
-21,38,3
-22,42,1
-35,58,-6
-37,63,-7
-31,84,-9
-27,112,-11
-29,125,-7
-27,105,0
-23,84,4
-19,45,7
-21,56,5
-20,78,2
-20,64,-2
-15,50,3
-13,43,5
-23,42,4
-18,46,5
-26,46,5
-31,46,5
-30,46,8
-28,45,4
-33,45,2
-27,46,6
-34,50,3
-31,56,3
-32,62,-2
-38,98,-8
-38,74,-16
-32,68,-21
-33,84,-31
-30,75,-31
-26,73,-20
-20,75,-19
-6,76,-13
-5,79,-8
-5,82,-4
0,85,-4
1,87,-4
-3,77,-2
-4,72,0
-6,68,4
-10,62,8
-11,46,14
-9,40,15
-11,44,16
-19,54,14
-19,60,14
-26,62,14
-37,71,12
-28,66,13
-26,63,12
-31,61,15
-36,61,14
-32,57,15
-33,57,14
-45,63,13
-38,64,10
-30,68,11
-37,72,6
-21,72,11
-11,64,13
-14,58,12
-32,63,9
-27,48,14
-7,37,30
-2,32,29
-2,16,9
-22,15,-12
-41,24,-31
-60,19,-35
-80,39,-31
-54,41,-24
-39,39,-31
-33,48,-37
-37,54,-38
-34,68,-38
-33,73,-40
-49,77,-22
-58,71,-16
-23,71,-39
-20,53,-57
-18,68,-20
-13,61,-5
-9,59,6
-5,54,7
-6,63,7
-22,63,22
-3,89,35
-11,76,27
-8,71,22
-6,63,21
-4,64,18
-16,54,26
-4,43,26
-5,39,31
-40,26,26
-38,23,41
-9,22,32
8,24,31
-50,43,16
-52,46,12
-22,56,8
-10,60,-2
3,59,-10
9,72,-14
7,85,-16
2,86,-9
-4,89,-7
-16,83,-2
-21,81,-8
-5,75,-2
-5,65,-9
-8,65,-4
-26,62,-9
-27,58,-9
-56,56,-20
-47,55,-14
-54,49,-32
-55,46,-29
-52,48,-26
-53,49,-27
-44,45,-31
-37,43,-30
-42,36,-33
